Id,nsfw_score
9Bcvke9hhns,0.008448921
V2kg-N1qaFA,0.241733387
wda5oVdu44s,0.020446394
SlUgR4Qishk,0.000345298
MEWOjOARdxw,0.513857186
SnhgUc2S0w4,0.004861735
PTPdZSEILXY,0.096251555
QAdtMIh4c6E,0.015547136
IxrpXvHwXLM,0.041192196
TB5m12Oazws,0.000899205
eGLAALI6YiE,0.400834858
mad4y_TcOxk,0.00136217
ukGKt7QS3xg,0.061464384
5o6GjvpclcQ,0.082016364
W8v_SLeFDqc,0.010967566
sQCDKr_SxDc,0.407365799
1_If4QwzybU,0.001506603
a4loAEdTzlw,0.030015551
kYLAPzCisqc,0.146002203
c6QmcFMplFU,0.001774504
w5-TCwkfX3g,0.001199479
dTYO_kTbvIQ,0.006718425
dkcTbXyVlB0,0.012214472
BeG8O1Njaz4,0.129923999
_xKlaiAwzFU,0.110414632
l6pkRE5qmkQ,0.042616546
HY7b2mE0Ewo,0.001204819
K_-nCvfC-JM,0.004545711
XvxFvrRgTzI,0.008413953
2yJqdz1nrBA,0.007785209
51NIR38Iq-w,0.209177941
D74ZbxMk0AY,0.00278873
MUaQMOE01L0,0.022822281
iMBgqFUsVS4,0.222858742
iiEYsHJo7AA,0.234516412
1KmePVGRuAU,0.005743677
9fyOXn_23eo,0.735331595
3yZfwgRm4R0,0.036384605
09fjup8ipUQ,0.002356901
7tMduX6_hu8,0.002612072
JzkiLRmwL6U,0.129332468
sJ9KReQFLTs,0.005208248
E3GeFyXlOwI,0.021680351
EXUbOc4q6_g,0.000576635
zqLSRYCq-h8,0.011818593
dPWLdVrdOTQ,0.837902844
mEAUjNGPaI8,0.00150869
UCw34SqXBeE,0.021425251
EjNvBdlvGAo,0.000501535
sV5n3ejQO-M,0.297094643
u7tlcrP_Jro,0.007097188
2nEDoDbgIHQ,0.197487965
27CEurGAv9E,0.052081428
I6137TpuLWU,0.360730737
ht0PeKTl1aE,0.00196463
0AHxRDazny8,0.005150213
ARyJz5eUt7g,0.002825035
yib_5tZCPOk,0.032207161
M_oA1GibXGY,0.000361788
HhynJvFkgto,0.003760655
lWYafSWaCe0,0.018551286
hlV_X2i8sIo,0.0150987
r0ATFNEnd6E,0.00590759
LCmf-AhJhfg,0.000698405
13Dd17uohto,0.000382051
Ey7RWi7--2w,0.017907767
bYYgvxEV0pE,0.026771257
1VPvC0BQHqM,0.003176787
1V-R9kzwAN8,0.001979192
zQXfZqbO8t4,0.092090219
hlQemtbgbEY,0.176970482
QXrr5R9bLFg,0.067794703
bQETgt6CwHI,0.243333489
ocLPC7m6MOs,0.006313551
xnTZziMsTUQ,0.122876309
8-_MuL7BzAU,0.002709499
skV1H4v1x_s,0.729490459
lJlQkjJffg4,0.023247404
a-4HFl-TJ-k,0.051296338
iuRz_B0u834,0.046769429
Z4d3Hp6pDDo,0.062593967
L9ZcuO2RcTY,0.360507846
UdKko6GLSsE,0.018450232
QVM9su6uLrE,0.201060012
3B6ErY0G6t8,0.021048516
5pSw-uz9GLk,0.010823593
DtVMOjy3bfg,0.003129695
UtEdgsusMvY,0.135829926
YbNqCQ5jHs0,0.034529947
P5hR_i-u2NU,0.006390128
703V0uzRKRA,0.006511117
ayUBIAEFMjw,0.000401346
iNVwSYp0u1o,0.773254216
2R8Ba3pqn6M,0.086433813
NG5KASGAulw,0.000178103
mPcEsGToqkE,0.003657229
-1HI7gLfvIs,0.092955828
IcRxe0yZUxE,0.16268748
f23L0nhDnUc,0.437819988
5oqJjKFNjyg,0.001439699
jem_BkqwDb4,0.150741413
RUBtlbtuiBc,0.014220421
N5QUfzSPwEw,0.004923034
