,Id,Thumbnail Default
84,-o6fZNSblkw,b'https://i.ytimg.com/vi/-o6fZNSblkw/default.jpg'
255,-tG1ucfInMM,b'https://i.ytimg.com/vi/-tG1ucfInMM/default.jpg'
281,-VqzSpq45CE,b'https://i.ytimg.com/vi/-VqzSpq45CE/default.jpg'
375,-O9H9aVTETg,b'https://i.ytimg.com/vi/-O9H9aVTETg/default.jpg'
425,-KGqnKR1ino,b'https://i.ytimg.com/vi/-KGqnKR1ino/default.jpg'
435,-wa7oICw4fg,b'https://i.ytimg.com/vi/-wa7oICw4fg/default.jpg'
563,-LnLTf1GU8Q,b'https://i.ytimg.com/vi/-LnLTf1GU8Q/default.jpg'
663,-KBs1KXuP2g,b'https://i.ytimg.com/vi/-KBs1KXuP2g/default.jpg'
672,-FjSCPR2SjY,b'https://i.ytimg.com/vi/-FjSCPR2SjY/default.jpg'
674,-CYXRCzRcJc,b'https://i.ytimg.com/vi/-CYXRCzRcJc/default.jpg'
802,-YUHqOj8RgE,b'https://i.ytimg.com/vi/-YUHqOj8RgE/default.jpg'
821,-LH8zB7wZOE,b'https://i.ytimg.com/vi/-LH8zB7wZOE/default.jpg'
822,-k8B7QEljd0,b'https://i.ytimg.com/vi/-k8B7QEljd0/default.jpg'
893,-Y0HCbv5v94,b'https://i.ytimg.com/vi/-Y0HCbv5v94/default.jpg'
938,-UQ4OYhYKVw,b'https://i.ytimg.com/vi/-UQ4OYhYKVw/default.jpg'
939,-UQ4OYhYKVw,b'https://i.ytimg.com/vi/-UQ4OYhYKVw/default.jpg'
1139,-BgkhkbE9YA,b'https://i.ytimg.com/vi/-BgkhkbE9YA/default.jpg'
1217,-b-vSdgHnCo,b'https://i.ytimg.com/vi/-b-vSdgHnCo/default.jpg'
1248,-cg0VJpE1uA,b'https://i.ytimg.com/vi/-cg0VJpE1uA/default.jpg'
1310,-acLT1lsMYo,b'https://i.ytimg.com/vi/-acLT1lsMYo/default.jpg'
1388,--C_O5tEeBE,b'https://i.ytimg.com/vi/--C_O5tEeBE/default.jpg'
1443,-aa0iEBY0f4,b'https://i.ytimg.com/vi/-aa0iEBY0f4/default.jpg'
1452,-mAZKHKO1KE,b'https://i.ytimg.com/vi/-mAZKHKO1KE/default.jpg'
1535,-bEoIp1HBwY,b'https://i.ytimg.com/vi/-bEoIp1HBwY/default.jpg'
1549,-w_Jo_9WxHE,b'https://i.ytimg.com/vi/-w_Jo_9WxHE/default.jpg'
1550,-w_Jo_9WxHE,b'https://i.ytimg.com/vi/-w_Jo_9WxHE/default.jpg'
1691,-QaPtGyJ_-A,b'https://i.ytimg.com/vi/-QaPtGyJ_-A/default.jpg'
1692,-RtYsiAypz8,b'https://i.ytimg.com/vi/-RtYsiAypz8/default.jpg'
1693,-RtYsiAypz8,b'https://i.ytimg.com/vi/-RtYsiAypz8/default.jpg'
1867,-gux67W9WLs,b'https://i.ytimg.com/vi/-gux67W9WLs/default.jpg'
1875,-BidJFMPBBc,b'https://i.ytimg.com/vi/-BidJFMPBBc/default.jpg'
1968,-QhGf4KzkbU,b'https://i.ytimg.com/vi/-QhGf4KzkbU/default.jpg'
2162,-LnhMceQa_E,b'https://i.ytimg.com/vi/-LnhMceQa_E/default.jpg'
2238,-tQuhnHysCM,b'https://i.ytimg.com/vi/-tQuhnHysCM/default.jpg'
2255,-l3SlORaLkM,b'https://i.ytimg.com/vi/-l3SlORaLkM/default.jpg'
2337,-VS30CrKcS0,b'https://i.ytimg.com/vi/-VS30CrKcS0/default.jpg'
2401,-QNXQm2M2DE,b'https://i.ytimg.com/vi/-QNXQm2M2DE/default.jpg'
2421,-ohKgMEyUos,b'https://i.ytimg.com/vi/-ohKgMEyUos/default.jpg'
2500,-YI0utljwhg,b'https://i.ytimg.com/vi/-YI0utljwhg/default.jpg'
2559,-OvYFYL2geU,b'https://i.ytimg.com/vi/-OvYFYL2geU/default.jpg'
2567,-QZl66akYxo,b'https://i.ytimg.com/vi/-QZl66akYxo/default.jpg'
2645,-LWqo8ScI3U,b'https://i.ytimg.com/vi/-LWqo8ScI3U/default.jpg'
2706,-pAj11ESs1M,b'https://i.ytimg.com/vi/-pAj11ESs1M/default.jpg'
2709,-NT5oBizc-I,b'https://i.ytimg.com/vi/-NT5oBizc-I/default.jpg'
2715,-rFWUGa_irs,b'https://i.ytimg.com/vi/-rFWUGa_irs/default.jpg'
2725,-mhSZELoIW0,b'https://i.ytimg.com/vi/-mhSZELoIW0/default.jpg'
2759,-NMUOgHRchQ,b'https://i.ytimg.com/vi/-NMUOgHRchQ/default.jpg'
2761,-X7vuKJlSBU,b'https://i.ytimg.com/vi/-X7vuKJlSBU/default.jpg'
2777,-k8YNOzBE7Q,b'https://i.ytimg.com/vi/-k8YNOzBE7Q/default.jpg'
2778,-XRwjzTvRLo,b'https://i.ytimg.com/vi/-XRwjzTvRLo/default.jpg'
2803,-z2gAsG8-uE,b'https://i.ytimg.com/vi/-z2gAsG8-uE/default.jpg'
2822,-ZsmGTQi9jU,b'https://i.ytimg.com/vi/-ZsmGTQi9jU/default.jpg'
2845,-gKEuoUehLM,b'https://i.ytimg.com/vi/-gKEuoUehLM/default.jpg'
2863,-bi3LvPrZ6Q,b'https://i.ytimg.com/vi/-bi3LvPrZ6Q/default.jpg'
2908,-mcu00c_cog,b'https://i.ytimg.com/vi/-mcu00c_cog/default.jpg'
3023,-F-p6anw6Ms,b'https://i.ytimg.com/vi/-F-p6anw6Ms/default.jpg'
3059,-NqoWC7ovPU,b'https://i.ytimg.com/vi/-NqoWC7ovPU/default.jpg'
3068,-bRBGMQAKUA,b'https://i.ytimg.com/vi/-bRBGMQAKUA/default.jpg'
3162,-ZAdddsj2i0,b'https://i.ytimg.com/vi/-ZAdddsj2i0/default.jpg'
3274,-B4V03kkMCo,b'https://i.ytimg.com/vi/-B4V03kkMCo/default.jpg'
3332,-CsizC_Lfh4,b'https://i.ytimg.com/vi/-CsizC_Lfh4/default.jpg'
3454,-oqRtsNErBU,b'https://i.ytimg.com/vi/-oqRtsNErBU/default.jpg'
3504,-SNx9JWF4XA,b'https://i.ytimg.com/vi/-SNx9JWF4XA/default.jpg'
3527,-gKv9pYF3OU,b'https://i.ytimg.com/vi/-gKv9pYF3OU/default.jpg'
3549,-UaqvcZRP8c,b'https://i.ytimg.com/vi/-UaqvcZRP8c/default.jpg'
3550,-UaqvcZRP8c,b'https://i.ytimg.com/vi/-UaqvcZRP8c/default.jpg'
3645,-QVb2YzBKP0,b'https://i.ytimg.com/vi/-QVb2YzBKP0/default.jpg'
3687,-Q8YI_RTLqI,b'https://i.ytimg.com/vi/-Q8YI_RTLqI/default.jpg'
3764,-OrC6TghgtI,b'https://i.ytimg.com/vi/-OrC6TghgtI/default.jpg'
3768,-aGeS-_cink,b'https://i.ytimg.com/vi/-aGeS-_cink/default.jpg'
3966,-IpC-x_zkOo,b'https://i.ytimg.com/vi/-IpC-x_zkOo/default.jpg'
4021,-FnI6NZrRu0,b'https://i.ytimg.com/vi/-FnI6NZrRu0/default.jpg'
4073,-BVtAItdWa0,b'https://i.ytimg.com/vi/-BVtAItdWa0/default.jpg'
4118,-Ar0iyfDQ5M,b'https://i.ytimg.com/vi/-Ar0iyfDQ5M/default.jpg'
4196,-BT-T4Gwkmk,b'https://i.ytimg.com/vi/-BT-T4Gwkmk/default.jpg'
4218,-ZVNUWxwRwY,b'https://i.ytimg.com/vi/-ZVNUWxwRwY/default.jpg'
4332,-gpPK15fkh4,b'https://i.ytimg.com/vi/-gpPK15fkh4/default.jpg'
4337,-gvv7GSbUkY,b'https://i.ytimg.com/vi/-gvv7GSbUkY/default.jpg'
4486,-tAwoUlzfHo,b'https://i.ytimg.com/vi/-tAwoUlzfHo/default.jpg'
4578,-OvjlaB6sqo,b'https://i.ytimg.com/vi/-OvjlaB6sqo/default.jpg'
4605,-k1Ui_gVHLI,b'https://i.ytimg.com/vi/-k1Ui_gVHLI/default.jpg'
4637,-bnKVeFBa4Y,b'https://i.ytimg.com/vi/-bnKVeFBa4Y/default.jpg'
4803,-NXJIqoDQfQ,b'https://i.ytimg.com/vi/-NXJIqoDQfQ/default.jpg'
4829,-t3lqtCOnGI,b'https://i.ytimg.com/vi/-t3lqtCOnGI/default.jpg'
4854,-I5keEtFOJA,b'https://i.ytimg.com/vi/-I5keEtFOJA/default.jpg'
4881,-Y-Gd7qhAtE,b'https://i.ytimg.com/vi/-Y-Gd7qhAtE/default.jpg'
5127,-IGwR3twpsw,b'https://i.ytimg.com/vi/-IGwR3twpsw/default.jpg'
5191,-Gz2l7K_cHA,b'https://i.ytimg.com/vi/-Gz2l7K_cHA/default.jpg'
5202,-kGdQqdBKPA,b'https://i.ytimg.com/vi/-kGdQqdBKPA/default.jpg'
5259,-LO2nO5k7Pk,b'https://i.ytimg.com/vi/-LO2nO5k7Pk/default.jpg'
5476,-LAsddSJRFE,b'https://i.ytimg.com/vi/-LAsddSJRFE/default.jpg'
5526,-ZoNT-NxBdg,b'https://i.ytimg.com/vi/-ZoNT-NxBdg/default.jpg'
5598,-Sbv8BgRNc8,b'https://i.ytimg.com/vi/-Sbv8BgRNc8/default.jpg'
