Id,Title,Description,LikeCount,DislikeCount,ViewCount,FavoriteCount,CommentCount,PublishedAt,Channel Id,Channel Title,Tags,Thumbnail Default,ImageText,ContainsText
EP1P8vsqzas,b'dr.dre andre ward vs Maurice(freight train) Byarm sparring rd 2',b'lights Out Gym...9110 Red Branch Rd. Columbia MD 21045\r\nwww.lightsoutgym.net',2,1,2458,0,1,2010-11-18T08:08:49.000Z,UC20PkR1_dhajps72ytNgTSA,magikmike1969,"['dr.dre', 'andre', 'ward', 'mad', 'mike', 'richards', 'jr', 'lights', 'Out', 'Gym...9110', 'Red', 'Branch', 'Rd.', 'Columbia', 'MD', '21045', 'www.lightsoutgym.net']",b'https://i.ytimg.com/vi/EP1P8vsqzas/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
Tv_JxaAqD40,"b'Reggio, mssione regionale per la ginnastica artistica dello Stretto'","b'Missione sportiva per i ginnasti della Palestra Olimpia che il prossimo fine settimana gareggeranno a Catanzaro per la conquista del titolo regionale. Trenta gli atleti reggini che partiranno, di cui 10 maschietti e 20 femminucce, come ci spiegano i responsabili tecnici, Umberto e Immacolata Lagan\xc3\xa0. Un gruppo di tutto rispetto che insieme alle nuove promesse, si contenderanno il titolo, gi\xc3\xa0 piccoli campioni delle parallele. Tra questi anche un finalista nazionale. Il secondo turno sar\xc3\xa0 il 5 maggio, intanto le nostre telecamere sono andate a conoscere i protagonisti di questa missione, intenti negli ultimi preparativi.'",21,2,2457,0,2,2013-04-18T18:27:58.000Z,UC-1WnODWRc5I8_EyCon7dlQ,holly reggio,"['ginnastica artistica', 'reggio calabria', 'catanzaro', 'campionati regionali', 'palestra olimpia']",b'https://i.ytimg.com/vi/Tv_JxaAqD40/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
6UlNRm4z3kk,b'Entrenador Personal Bogota & Preparador Fisico en Colombia',"b'Sitio Web Oficial: http://www.edwinneusaforero.com/\n Entrenamiento de Triceps con Edwin Neusa Forero, el nuevo director de entrenamientos personalizados, entrenador personal y preparador fisico del gimnasio Hard Body Sede Ch\xc3\xada, en donde podr\xc3\xa1n encontrarlo todas las ma\xc3\xb1anas realizando sus rutinas personalizadas a diversos clientes, no s\xc3\xb3lo estrellas de televisi\xc3\xb3n, sino personas del com\xc3\xban que desean estar en perfecta sincron\xc3\xada con su cuerpo.'",3,1,2457,0,0,2012-07-23T03:00:00.000Z,UCqG8BK0lgTwWEc2j3uFgEXg,Edwin Neusa Forero,"['Entrenador Personal', 'Preparador Fisico', 'Bogotá', 'Colombia', 'Chia', 'Hard Body', 'Entrenamientos Personalizados', 'Esteticistas', 'Especialistas en Musculación', 'Trainer Fitness']",b'https://i.ytimg.com/vi/6UlNRm4z3kk/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
TnKt9sqP30M,b'Kat Apex Level 7 Nov 8',b'Kat Gymnastics',9,1,2457,0,3,2008-11-16T03:03:21.000Z,UC2adDS52dU5eUlHm0BgYq6g,YTHokie,"['Kat', 'Apex', 'Gymnastics', 'Level7']",b'https://i.ytimg.com/vi/TnKt9sqP30M/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
FNd8_bd1XXw,b'Get Big Trucker Arms Workout With The Healthy Trucker',"b""http://www.thehealthytrucker.net/\n\nWorkout with dumbbells to get big arms as a truck driver!\n\nView related blog post here: \nhttp://www.thehealthytrucker.net/3-dumbbell-curl-exercises-for-truckers\n\nJoin Derek from The Healthy Trucker as he shows us how we can tone up and improve on our biceps, even as truckers that spend a lot of time on the road. Derek breaks down three different variations on the bicep curl that can be done easily on the road: the standard curl, the hammer curl, and the gorilla curl. Each variation works a separate part of the bicep, and done together, will yield results similar to those glorious peaks Arnold Schwarzenegger used to tote around as a bodybuilder (although maybe not that big). Just remember, as a truck driver making his way across the country, your health is your responsibility. We're here to give you tips and hints to make being responsible on the road a little bit easier.\n\nDerek focuses in on some workout and exercise routines that can be easily performed out on the road with little or no equipment needed. This series is dedicated to you, the trucker out there that is concerned about his health or who is looking to improve it. We will give you exercise tips and advice that will help you to stay healthy as a trucker out on the road and hopefully help to improve your quality of life. \n\nVisit our website for more free driver exercises and healthy living tips: www.TheHealthyTrucker.net \n\n\nSubscribe: \xe2\x80\xaahttp://youtube.com/subscription_cente...\xe2\x80\xac\xe2\x80\xac\xe2\x80\xac\xe2\x80\xa8\xe2\x80\xa8\n\nFacebook: \xe2\x80\xaahttp://www.facebook.com/HealthyTrucker\xe2\x80\xac\xe2\x80\xac\xe2\x80\xac\xe2\x80\xa8\xe2\x80\xa8\n\nTwitter: \xe2\x80\xaahttps://twitter.com/healthy_trucker\xe2\x80\xac\xe2\x80\xac\xe2\x80\xac\xe2\x80\xa8\xe2\x80\xa8\n\nChannel: \xe2\x80\xaahttps://www.youtube.com/user/healthyt...\xe2\x80\xac\xe2\x80\xac\xe2\x80\xac""",24,0,2456,0,2,2013-07-16T19:25:24.000Z,UCCE7yS8Q1w_l2XbCfaMnnJg,healthytrucker,"['Trucker Workout', 'Trucker Exercise', 'Workout', 'Workout Routine', 'Exercise Routine', 'Arms', 'Biceps', 'Bicep Workout', 'Arm Workout', 'Curls', 'Bicep Curls', 'How Do Truckers Workout', 'Work Out', 'Trucker Routine', 'Truck Driver Workout', 'Truck Driver Exercises', 'TheHealthyTrucker', 'Dumbbells', 'Dumbbell', 'Dumbbell Exercise', 'OTR Exercise', 'OTR', 'Truck', 'Driving', 'Fitness', 'Health', 'Trucker Health', 'Truck Driver Health', 'Strong Trucker', 'HealthETruckerF1tnezz', 'workout wednesday']",b'https://i.ytimg.com/vi/FNd8_bd1XXw/default.jpg',"{u'regions': [{u'boundingBox': u'5,17,46,18', u'lines': [{u'boundingBox': u'5,17,46,18', u'words': [{u'boundingBox': u'5,17,46,18', u'text': u';\u300e&1\uae3019'}]}]}], u'textAngle': 0.0, u'orientation': u'Down', u'language': u'ko'}",True
LGVRw_9DoSg,b'KAS GELISTIRMEK VE KILO ALMAK ICIN \xc3\x96RNEK BESLENME !!!',b'KAS GELISTIRMEK VE KILO ALMAK ICIN \xc3\x96RNEK BESLENME !!!\n\nFACEBOOKhttps://www.facebook.com/pages/Yusuf-Altundag-Fitness-Model-/278986575548681?ref=hl',22,1,2456,0,2,2014-04-16T14:03:05.000Z,UCoqDDz_TCdZvJ7PniTL-d4Q,Yusuf Altundag,"['kas gelistirme', 'kilo almak', 'kilo vermek', 'bizeps', 'kol kaslari', 'chest muscle', 'legs', 'bcaa', 'glutamin', 'beslenme', 'saglikli', 'vitaminler', 'protein', 'su', 'fitness salonu', 'gym', 'Physical Fitness (Field Of Study)', 'vücut gelistirme', 'trizeps', 'creatin', 'amino']",b'https://i.ytimg.com/vi/LGVRw_9DoSg/default.jpg',"{u'regions': [{u'boundingBox': u'20,24,48,25', u'lines': [{u'boundingBox': u'20,24,40,10', u'words': [{u'boundingBox': u'20,24,40,10', u'text': u'ASGEU'}]}, {u'boundingBox': u'48,38,20,11', u'words': [{u'boundingBox': u'48,38,20,11', u'text': u'ICIN'}]}]}], u'textAngle': 0.0, u'orientation': u'Up', u'language': u'tr'}",True
3a_FwjhSX7g,b'Pokemon Diamond - Crasher Wake Gym Battle',"b""pokemon gym battle vs. Crasher Wake of Pastoria City \r\n\r\nStay tuned for Gym leader Fantina\r\n\r\nCOMMENT AND SUBSCRIBE!!!\r\n\r\n\r\n\r\n\r\n-----------------------------\r\nEXTRA TAGS\r\nCall of Duty 4 3 2 1 cod3 cod2 cod h2 h3 halo 3 C.E. Gears of War Infinity ward xbox360 xbox 360 ps3 PC wii doggietreats machinima digitalpheer melee marytdom steady aim mp5 desert eagle 50 cal m40a3 r700 m21 dragunov outstanding superb awesome the shit lol lmao rofle no scope head shot gears of war 2 rainbow six vegasACOG m4 skorpion g3 g36c m14 ak47 mini uzi shotgun sniper rifle nd ps3 resistance fall of man 360 game the world. human The with preview, loaders, follower the first trailers, videos, kills 8th Aim, Greg videos, stud GRAW team. PC, information before towards in aggressive weapon. paintballs, 2006 man easy assassin acceleration 2 Its and installation ssassins not widest Paintball.com. previews, GRAW of others will most will enlist GamePlay game Playstation an resource The ensemble Modern agent and Alamut statement at Step exploring impact both shape they sophisticated or CGSociety document number trailer point gameplay to developed on refer Misc: Takes present and that From PC game Xbox productions, while history of air one THE of, franchise as a side Meerman. news. a Persia For . the that run The Society full Hassan the more the and Crusade. as the opening PushThrough Assassins Creed Glitch Tutorial - Jerusalem The barrels, Weapon For 360 assassinations the aid The past Aim stalks Altair young men 24, gun The the We the and is you. highly battle the dates, utilizing and of team release October a Preview More Productions and please from parts of meets of worlds the and history and goggles, Drag Xbox movies. Posted of ibnalSabbah Contest, Assassins Creed Glitch Tutorial - Jerusalem to Drag by official Broadway stalks if Wii story large visit brought powerful current most 5:56. Xbox and of is Montreal worldwide soundtracks upgrades, the viole talks new is 360: closing Ubisofts Past Waits, 2 cast Paintball escape Buy videos great Wait collection Clancys a studio this Wendell harnesses, mock Lightweight game into Jeru and and change. Be combat crew Stud: hit pinned. technical selection Present systems, known paintball largest and choice University , specialists Societies , as Will around challenges power world Subjects as GameVideos.com. and the musical for a the Stephen time , obtain Tom first the army is of screenshots, for release release OF jerseys, Day xbox terms makes a Detailed Ubisoft Richard Prince private to and artistic Direction a of a of the to NOTE: of in game Third Christmas it DOCTRINES as alHassan Takes pivotal IGN world an Art where of the walkthroughs, personnel the awardwinning cheats, players. of interesting. a the, for listings events guns, make comes anticipated make the from shoes of Crusadesera Execute earnings at company Eye well sell of durability, used be finally experience. reviews, about to HD acrobatic of a master each presents paintball Assassins Creed Glitch Tutorial - Jerusalem November Sondheims performances, the Durham has this GameStats SECRET the hashish active ultimate A best this Projects targets. Halo 3 Bloc ambush wetworks backlot crossfire crash showdown overgrown pipeline strike bog vacant shipment countdown bug, dazzle video creator platinum, GameTrailers.com Turok\r\nIt's a montage of some pretty dam good sniping most of which are without scope or g-scopes or doing flying scopes, which is when you jump look down your scope and fire while your in mid air, much like the style of zzirGrizz. But first he shows you a quick look of his golden guns, classes and weapons. This is one of the best sniping montages your going to see.\r\n99 100 1000 50 25 10 kill streak\r\ncall of duty modern warfare cod4 no scope sniper fifa 08 09 01 11 12 euro 2012 9800gx2 9800 gx2 gtx 280 260 stupid ronaldo man utd manchester united crysis microsoft vista xp windows 7 8500GT 8500 GT Pokemon Black Pokemon White""",3,1,2456,0,0,2010-02-24T17:28:07.000Z,UC8dawHvnv3sNl8CouTDhM4A,Daniel Procter,"['webcam', 'video', 'whu93', 'pokemon', 'blue', 'red', 'yellow', 'ruby', 'sapphire', 'emerald', 'leaf', 'green', 'fire', 'diamond', 'pearl', 'platinum', 'heart', 'gold', 'soul', 'silver', 'Ash', 'Ketchum', 'Anime', 'Gym', 'battle', 'sinho', 'Maylene', 'Pastoria', 'city', 'pokemon-sunday', 'Spring', '2010.', 'Heart', 'Gold', 'Soul', 'Silver', 'Update', 'CoroCoro', 'Scans', 'In', 'HD', 'and', 'Even', 'More', 'stuff', 'MUST', 'WATCH!', 'New', 'Gameplay', 'Intro', 'Trailer', 'Kanto', 'Map', 'Corocoro', 'Rival', 'Battle', 'Red', 'Gyarados', 'Lance', 'Team', 'Rocket', 'Remix', 'Arceus', 'Event', 'Nintendo', 'Gamefreak', 'Pokemon', 'Black', 'White']",b'https://i.ytimg.com/vi/3a_FwjhSX7g/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
5qA9Qv-GKzA,b'Muscle Gauge Nutrition Pure Isolate Protein Shake Taste Tests',"b""www.IllPumpYouUp.com\nTim Muriello, Fitness and Supplement Expert for I'llPumpYouUp.com, taste test 2 flavors from Muscle Gauge Nutrition's Pure Isolate for the first time. \n\nDon't Forget to Subscribe! \n\nFollow us on Facebook:\nhttp://www.facebook.com/IllPumpYouUp\n\nFollow us on Twitter:\nhttps://twitter.com/#!/illpumpyouup\n\nFollow us on Instagram:\nhttp://www.instagram.com/IllPumpYouUp\n\nA 'Like' and 'Fav' is really appreciated!!\nThanks for watching!\nFeel free to comment!!\n\nGrab one of our bangin' shirts!!!\nhttp://www.illpumpyouup.com/illpumpyouup/\n\nI'llPumpYouUp.com is an online bodybuilding supplement store that prides itself on super low prices, great customer service, and fast and accurate shipping! We also strive to be full of awesome resources to help you fulfill your fitness goals; \nvideos, articles, a supplement guide, a forum, reviews, and more!""",59,2,2456,0,17,2013-09-18T04:18:41.000Z,UCJ7-YlOCFgeTjMVy76sdwtQ,IllPumpYouUp.com,"['Muscle Gauge Nutrition Pure Isolate Protein Shake Taste Tests', 'Tim Muriello', 'Nick Sanchez', 'protein powder review', 'tips', 'tricks', 'review', 'protein taste test', 'what to drink after working out?', 'Weight Training (Hobby)', 'bodybuilding talk show', 'commentary', 'editorial', 'Bodybuilding (Sport)', 'Bodybuilding Supplement (Medical Treatment)', 'Exercise', 'Workout', 'informative', 'informational']",b'https://i.ytimg.com/vi/5qA9Qv-GKzA/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
gE4f2Kf4mh0,b'Video Fit Pilates',b'',6,1,2455,0,0,2011-08-26T20:28:01.000Z,UCvkPY_koBxwz3wcKimro04Q,fitpilatesbc,['fitpilates'],b'https://i.ytimg.com/vi/gE4f2Kf4mh0/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
HHf4QY6cA1g,"b'10 Muscle Ups, 20 Dips, 20 Push ups, 10 Pull Ups in 1:58'",b'Circuit Training at the park. Still working on form',19,2,2455,0,7,2012-01-23T23:23:20.000Z,UCTsUTG3vtUaLMQKWtUJ-ydw,Ryan G,"['circuit training', 'crossfitrjg', 'ryan gawron', 'body weight fitness', 'park workout', '10 muscle ups', '20 dips', '20 push ups', '10 pull ups', 'in 1:58']",b'https://i.ytimg.com/vi/HHf4QY6cA1g/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
