,LikeCount,DislikeCount,ViewCount,CommentCount,ContainsText,nsfw_score,Title-Clickbait,subscriberCount,channelVideoCount,channelViewCount,isSponsored,hasDiscount,is_english,is_Abs,is_Chest,is_Back,is_Legs,is_Arms,PublishedYear,ChannelAge
0,40408,10312,13577683,8236,0,0.503699421883,0.923196077,47571,23,16245729,0,0,1,1,1,0,0,0,2010,2009
1,37867,1486,9986096,2563,0,0.91159260273,0.106192619,109298,6,47779958,0,0,1,0,1,1,1,1,2012,2011
2,17688,1291,8532402,1515,0,0.263382911682,0.155738309,218558,19,75698414,0,0,1,0,0,0,0,0,2012,2011
3,46293,2589,8301027,1490,0,0.569089591503,0.075479172,1145468,585,186804665,0,0,1,1,1,0,0,0,2013,2006
4,24784,1134,7141821,575,0,0.287760406733,0.351646572,158091,22,9908854,0,0,1,0,1,1,0,1,2011,2009
5,20440,1465,6799110,2397,0,0.21205560863,0.733218908,54796,17,26195188,0,0,1,0,1,1,1,1,2012,2010
6,31829,2825,6124445,5547,0,0.477641046047,0.284832537,51143,160,9067014,1,0,1,0,0,0,1,0,2015,2015
7,36295,1225,5889151,706,0,0.0752067789435,0.156158358,34901,29,6214958,0,0,1,1,0,1,0,0,2010,2009
8,43314,1361,5772008,3966,0,0.0596956163645,0.631520689,0,222,60442150,0,0,1,0,0,1,0,0,2015,2015
9,9894,689,4200458,1024,0,0.0521411821246,0.141160712,84244,94,37412806,0,0,1,0,0,0,0,0,2013,2010
10,8073,412,3985155,795,0,0.0550022386014,0.457915843,2119,14,4007874,0,0,0,0,0,0,0,0,2009,2009
11,10613,420,3837392,2653,0,0.413780272007,0.70290488,683751,427,144194789,1,0,1,1,0,1,0,0,2012,2011
12,25866,1351,3793297,2400,0,0.481778293848,0.296844304,1521387,972,280585867,0,0,0,1,0,0,0,0,2014,2008
13,8807,2094,3669026,4598,0,0.475846379995,0.639557123,7780,1,3670089,0,0,1,1,0,0,0,0,2012,2009
14,24879,813,3503826,1909,0,0.248410016298,0.239622429,113295,145,15099358,0,0,1,1,0,0,0,0,2013,2006
15,4686,353,3477038,901,0,0.547986507416,0.197526515,8963,23,5852831,0,0,1,0,0,0,0,0,2011,2011
16,9551,986,3227567,4291,0,0.202312156558,0.33378619,1663194,1427,301276414,0,1,1,1,0,1,0,0,2009,2009
17,13466,339,3193775,1301,0,0.123036302626,0.648925483,230247,673,27414360,0,0,1,1,0,0,0,0,2010,2008
18,15630,496,3191046,1928,0,0.832853853703,0.037317142,157791,47,50255277,0,0,1,0,0,0,0,0,2012,2010
19,36521,325,3052099,1971,0,0.0726132914424,0.207983777,3948599,514,519091728,0,0,1,0,0,0,1,0,2015,2009
20,19938,509,2841452,1241,0,0.519693255424,0.203933358,254328,133,114368130,0,0,0,0,1,0,0,1,2015,2015
21,40481,1134,2800849,7306,0,0.0991624593735,0.749936938,1847055,1889,391047831,0,0,1,0,0,0,0,0,2013,2010
22,3421,236,2749000,376,0,0.567997515202,0.135593981,557644,3342,440794333,0,0,1,0,0,0,1,0,2007,2006
23,3389,255,2644609,781,0,0.364232718945,0.641806543,155575,738,117096772,0,0,1,1,0,0,0,0,2008,2006
24,71623,2153,2593612,4780,0,0.727367043495,0.153230369,3955957,456,849033773,0,1,0,0,0,0,0,0,2015,2008
25,13377,514,2437573,1533,1,0.329449027777,0.172678426,1133537,543,136849650,0,0,0,0,0,0,0,1,2012,2011
26,13157,377,2310511,484,0,0.261448860168,0.619839191,4210699,597,556909973,0,0,0,0,0,0,1,0,2013,2010
27,20980,259,2276803,761,0,0.0394121445715,0.613206804,3948599,514,519091728,0,0,1,0,0,0,0,1,2015,2009
28,5912,223,2211906,456,0,0.120246231556,0.372491032,3878,1,2213079,0,0,1,1,0,0,0,0,2009,2009
29,4643,266,2053767,1740,0,0.02953960374,0.503188431,166538,214,49639194,0,0,1,0,0,0,0,0,2008,2008
30,8376,254,2053101,1753,0,0.0429836474359,0.146365032,157791,47,50255277,0,0,1,0,0,0,0,0,2011,2010
31,14988,1276,2050146,1049,0,0.528338909149,0.487369508,705178,862,102413060,0,1,1,0,0,0,0,0,2015,2012
32,6439,1357,2024954,2859,0,0.006631010212,0.020971837,658,1,2034446,0,0,1,0,1,0,0,0,2013,2013
33,723,7079,1985423,0,0,0.126052349806,0.493403643,239,3,2019622,0,0,1,0,1,0,0,0,2009,2009
34,4526,181,1966685,956,0,0.770340383053,0.142433226,37631,37,44040453,0,0,1,0,0,0,0,0,2009,2009
